id,url,label,title,created_time,last_activity_date
66557738,https://stackoverflow.com/questions/66557738/exploding-memory-consumption-when-training-fl-model-with-varying-number-of-parti,['tensorflow-federated'],Exploding memory consumption when training FL model with varying number of participants per round,2021-03-10 11:00:00,2021-03-23 02:24:37
67057583,https://stackoverflow.com/questions/67057583/tff-modify-the-process-that-includes-an-initialization-and-iterated-computatio,['tensorflow-federated'],TFF : Modify the process that includes an initialization and iterated computation,2021-04-12 19:30:58,2021-05-25 19:22:34
69767043,https://stackoverflow.com/questions/69767043/training-submodel-instead-of-full-model-tensorflow-federated,"['python', 'tensorflow', 'tensorflow-federated']",Training submodel instead of full model Tensorflow Federated,2021-10-29 18:02:33,2022-07-14 20:54:15
71167600,https://stackoverflow.com/questions/71167600/how-to-build-federated-learning-model-of-unbalanced-and-small-dataset,"['machine-learning', 'tensorflow-federated', 'federated-learning']",How to build federated learning model of unbalanced and small dataset,2022-02-18 10:05:39,2022-02-19 08:49:19
71428904,https://stackoverflow.com/questions/71428904/valueerror-layer-sequential-expects-1-inputs-but-it-received-10-input-tens,"['python', 'tensorflow', 'keras', 'tensorflow-federated']","ValueError: Layer &quot;sequential&quot; expects 1 input(s), but it received 10 input tensors",2022-03-11 02:14:36,2022-03-15 23:48:50
72179718,https://stackoverflow.com/questions/72179718/how-to-tune-hyper-parameters-for-cifar100-in-tensorflow-federated-tff-without-dr,"['python', 'tensorflow', 'google-colaboratory', 'tensorflow-federated', 'federated-learning']",How to tune hyper parameters for CIFAR100 in tensorflow_federated TFF without dropping in the accuracy?,2022-05-10 09:15:39,2022-05-11 00:59:13
55286731,https://stackoverflow.com/questions/55286731/what-is-the-recommended-way-to-mix-tensorflow-and-tensorflow-federated-code,"['python', 'tensorflow', 'tensorflow-federated']",What is the recommended way to mix TensorFlow and TensorFlow Federated code?,2019-03-22 02:09:56,2019-03-22 04:03:48
55959848,https://stackoverflow.com/questions/55959848/cannot-serialize-protocol-buffer-when-using-mobilenet-with-tensorflow-federated,"['python', 'tensorflow', 'keras', 'tensorflow-federated', 'mobilenet']",Cannot serialize protocol buffer when using MobileNet with Tensorflow Federated,2019-05-03 04:32:29,2020-02-14 12:55:49
56050014,https://stackoverflow.com/questions/56050014/operations-performed-on-the-communications-between-the-server-and-clients,"['tensorflow', 'tensorflow-federated', 'federated-learning']",Operations performed on the communications between the server and clients,2019-05-09 06:47:10,2020-12-14 01:21:36
57839097,https://stackoverflow.com/questions/57839097/are-there-any-way-to-do-federated-learning-with-real-multiple-machines-using-ten,"['tensorflow', 'tensorflow-federated']",Are there any way to do federated learning with real multiple machines using tensorflow-federated API?,2019-09-08 12:03:14,2019-10-30 15:37:21
57898984,https://stackoverflow.com/questions/57898984/in-tensorflow-federated-how-to-assign-different-training-functions-to-different,['tensorflow-federated'],"In tensorflow federated, how to assign different training functions to different clients?",2019-09-12 10:33:02,2019-09-15 05:24:26
58004272,https://stackoverflow.com/questions/58004272/is-there-a-reasonable-way-to-create-tff-clients-datat-sets,"['tensorflow-datasets', 'tensorflow-federated']",Is there a reasonable way to create tff clients datat sets?,2019-09-19 13:32:04,2020-05-08 17:20:08
59193069,https://stackoverflow.com/questions/59193069/mse-error-different-during-training-and-evaluation-in-tensorflow-federated,"['tensorflow', 'machine-learning', 'tensorflow2.0', 'tensorflow-federated', 'federated-learning']",MSE error different during training and evaluation in tensorflow federated,2019-12-05 18:27:07,2020-11-28 18:59:34
59741397,https://stackoverflow.com/questions/59741397/federated-learning-convert-my-own-image-dataset-into-tff-simulation-clientdata,"['python', 'tensorflow', 'keras', 'tensorflow-federated', 'federated-learning']",Federated learning : convert my own image dataset into tff simulation Clientdata,2020-01-15 04:33:42,2020-11-29 00:29:22
