framework,url,created_time,closed_time,lifecycle
PySyft,https://github.com/OpenMined/PySyft/issues/2365,2019-07-17 19:19:58,2019-07-18 14:41:20,19:21:22
PySyft,https://github.com/OpenMined/PySyft/issues/2361,2019-07-17 06:58:11,2019-07-17 17:22:49,10:24:38
PySyft,https://github.com/OpenMined/PySyft/issues/2346,2019-07-10 02:42:47,2020-05-25 00:08:17,"319 days, 21:25:30"
PySyft,https://github.com/OpenMined/PySyft/issues/2333,2019-07-04 07:32:27,2019-07-09 19:48:18,"5 days, 12:15:51"
PySyft,https://github.com/OpenMined/PySyft/issues/2281,2019-06-13 15:24:31,2020-05-25 00:08:32,"346 days, 8:44:01"
PySyft,https://github.com/OpenMined/PySyft/issues/2267,2019-06-11 09:28:58,2019-06-11 11:37:56,2:08:58
PySyft,https://github.com/OpenMined/PySyft/issues/2243,2019-06-06 17:47:51,2019-06-10 21:11:50,"4 days, 3:23:59"
PySyft,https://github.com/OpenMined/PySyft/issues/2234,2019-06-05 06:52:43,2019-06-09 15:38:16,"4 days, 8:45:33"
PySyft,https://github.com/OpenMined/PySyft/issues/2207,2019-05-31 12:30:01,2019-06-01 15:36:19,"1 day, 3:06:18"
PySyft,https://github.com/OpenMined/PySyft/issues/2202,2019-05-31 07:45:18,2019-06-04 17:10:33,"4 days, 9:25:15"
PySyft,https://github.com/OpenMined/PySyft/issues/2168,2019-05-24 20:25:25,2019-05-31 23:10:44,"7 days, 2:45:19"
PySyft,https://github.com/OpenMined/PySyft/issues/2135,2019-05-10 22:15:56,2019-05-11 00:22:45,2:06:49
PySyft,https://github.com/OpenMined/PySyft/issues/2132,2019-05-09 08:48:17,2019-06-15 18:50:02,"37 days, 10:01:45"
PySyft,https://github.com/OpenMined/PySyft/issues/2070,2019-04-15 08:53:42,2020-03-24 13:34:02,"344 days, 4:40:20"
PySyft,https://github.com/OpenMined/PySyft/issues/2047,2019-04-08 13:45:23,2019-04-08 15:36:19,1:50:56
PySyft,https://github.com/OpenMined/PySyft/issues/2011,2019-03-25 23:17:22,2019-03-31 20:43:57,"5 days, 21:26:35"
PySyft,https://github.com/OpenMined/PySyft/issues/1992,2019-03-13 19:02:05,2019-03-29 14:09:43,"15 days, 19:07:38"
PySyft,https://github.com/OpenMined/PySyft/issues/1978,2019-03-06 19:14:44,2019-03-09 13:45:38,"2 days, 18:30:54"
PySyft,https://github.com/OpenMined/PySyft/issues/1919,2019-02-19 07:30:21,2019-02-20 07:55:53,"1 day, 0:25:32"
