url,additions,deletions,total,changed_files,hunks,functions,hunks_dict
https://github.com/deepgram/kur/commit/04ca948,16,7,23,2,8,"{'num': 4, 'function': {'kur/backend/pytorch/modules.py': ['parallel', 'swap_channels', 'add_operation'], 'kur/containers/layers/parallel.py': ['_build']}}","{'add': {4: 1, 1: 5, 5: 1, 2: 1}, 'del': {1: 5, 2: 1}}"
https://github.com/onnx/onnxmltools/pull/96,39,6,45,3,5,"{'num': 3, 'function': {'onnxmltools/convert/coreml/operator_converters/TensorToProbabilityMap.py': ['convert_tensor_to_probability_map'], 'onnxmltools/convert/common/_apply_operation.py': [], 'onnxmltools/convert/coreml/shape_calculators/TensorToProbabilityMap.py': ['calculate_tensor_to_probability_map_output_shapes']}}","{'add': {3: 1, 2: 2, 23: 1, 9: 1}, 'del': {2: 1, 1: 1, 3: 1}}"
https://github.com/rwth-i6/returnn/commit/93e1e764,16,4,20,1,9,"{'num': 1, 'function': {'TFNetworkLayer.py': ['get_value']}}","{'add': {1: 6, 10: 1}, 'del': {1: 4}}"
https://github.com/dpressel/baseline/commit/6126107,34,11,45,4,24,"{'num': 9, 'function': {'python/baseline/pytorch/tagger/model.py': ['load', '_char_word_conv_embeddings', '_compute_unary_tb', 'create', 'char2word'], 'python/baseline/pytorch/tagger/train.py': ['_test', 'fit'], 'python/baseline/pytorch/torchy.py': [], 'python/baseline/reporting.py': ['setup_reporting']}}","{'add': {1: 17, 2: 6, 6: 1}, 'del': {1: 9, 2: 1}}"
https://github.com/dpressel/baseline/commit/4dad463,3,2,5,3,3,"{'num': 4, 'function': {'tag/tf/data.py': ['conllBuildVocab'], 'tag/tf/model.py': ['params'], 'tag/tf/tag_char_rnn.py': [], 'tag/tf/train.py': ['__init__']}}","{'add': {1: 3}, 'del': {1: 2}}"
https://github.com/tensorforce/tensorforce/commit/6179b41,1,1,2,1,1,"{'num': 1, 'function': {'tensorforce/models/naf_model.py': ['get_action']}}","{'add': {1: 1}, 'del': {1: 1}}"
https://github.com/deepchem/deepchem/commit/8b2a7a72,44,1,45,2,2,"{'num': 2, 'function': {'examples/delaney/delaney_graph_conv.py': [], 'examples/nci/nci_tf_progressive.py': []}}","{'add': {1: 1, 44: 1}, 'del': {1: 1}}"
https://github.com/pyro-ppl/pyro/commit/204f9e06,1,2,3,2,2,"{'num': 2, 'function': {'pyro/distributions/categorical.py': ['sample'], 'pyro/infer/__init__.py': []}}","{'add': {1: 1}, 'del': {1: 2}}"
https://github.com/NervanaSystems/distiller/commit/0a8a3b3,0,4,4,1,1,"{'num': 1, 'function': {'models/__init__.py': ['create_model']}}","{'add': {}, 'del': {4: 1}}"
https://github.com/rwth-i6/returnn/commit/c2c4b866,8,13,21,1,4,"{'num': 2, 'function': {'TFNetworkLayer.py': ['get_value', '__init__']}}","{'add': {2: 1, 6: 1}, 'del': {9: 1, 2: 1, 1: 2}}"
https://github.com/cornellius-gp/gpytorch/commit/34af54a7ce4849778d548fc0782da81449c50c3c,10,73,83,4,8,"{'num': 5, 'function': {'gpytorch/lazy/lazy_variable.py': ['__getitem__'], 'gpytorch/utils/__init__.py': ['sparse_eye', 'left_t_interp'], 'gpytorch/utils/sparse.py': ['make_sparse_from_indices_and_values'], 'gpytorch/utils/toeplitz.py': []}}","{'add': {1: 4, 2: 3}, 'del': {1: 5, 2: 2, 64: 1}}"
https://github.com/onnx/onnxmltools/pull/89,8,8,16,4,8,"{'num': 4, 'function': {'onnxmltools/convert/coreml/shape_calculators/Classifier.py': ['calculate_traditional_classifier_output_shapes'], 'onnxmltools/convert/coreml/shape_calculators/TensorToProbabilityMap.py': ['calculate_tensor_to_probability_map_output_shapes'], 'onnxmltools/convert/sklearn/shape_calculators/LinearClassifier.py': ['calculate_sklearn_linear_classifier_output_shapes'], 'onnxmltools/convert/sklearn/shape_calculators/SVM.py': ['calculate_sklearn_svm_output_shapes']}}","{'add': {1: 8}, 'del': {1: 8}}"
https://github.com/deepchem/deepchem/pull/1151,87,71,158,3,24,"{'num': 8, 'function': {'deepchem/models/__init__.py': [], 'deepchem/models/tensorgraph/progressive_multitask.py': ['add_adapter', 'create_output', 'fit_task', 'create_loss', 'predict', '__init__'], 'deepchem/models/tensorgraph/IRV.py': ['build_graph']}}","{'add': {1: 12, 2: 2, 3: 1, 11: 1, 7: 1, 50: 1}, 'del': {1: 8, 2: 4, 19: 2, 8: 1, 22: 1, 6: 1}}"
https://github.com/flairNLP/flair/pull/448,1,4,5,1,1,"{'num': 1, 'function': {'flair/models/sequence_tagger_model.py': ['_calculate_loss']}}","{'add': {1: 1}, 'del': {4: 1}}"
https://github.com/facebookresearch/ParlAI/pull/348,7,1,8,3,9,"{'num': 5, 'function': {'parlai/tasks/vqa_v1/agents.py': ['share', '__init__'], 'parlai/tasks/vqa_v2/agents.py': ['share', '__init__'], 'parlai/core/image_featurizers.py': ['load']}}","{'add': {1: 5, 2: 1}, 'del': {1: 1}}"
https://github.com/pyro-ppl/pyro/pull/733,2,5,7,1,1,"{'num': 1, 'function': {'examples/ss_vae_M2.py': ['model_classify']}}","{'add': {2: 1}, 'del': {5: 1}}"
https://github.com/flairNLP/flair/pull/795,50,17,67,2,7,"{'num': 6, 'function': {'flair/data.py': ['downsample', 'test', 'filter_empty_sentences', 'get_embedding'], 'flair/datasets.py': ['is_in_memory', '__init__']}}","{'add': {1: 3, 8: 2, 13: 2, 18: 1}, 'del': {1: 1, 3: 1, 13: 1}}"
https://github.com/tf-encrypted/tf-encrypted/pull/375,97,44,141,4,21,"{'num': 12, 'function': {'examples/securenn/network_a.py': ['build_training_graph', 'receive_output', 'cond'], 'examples/securenn/network_b.py': ['build_training_graph', 'provide_input', 'receive_output', 'cond'], 'examples/securenn/network_c.py': ['build_training_graph', 'provide_input', 'receive_output', 'cond'], 'tf_encrypted/layers/convolution.py': ['initialize']}}","{'add': {1: 11, 2: 3, 33: 2, 4: 1, 3: 1, 7: 1}, 'del': {2: 2, 1: 11, 3: 2, 4: 2, 5: 3}}"
https://github.com/ludwig-ai/ludwig/pull/141,78,67,145,4,24,"{'num': 7, 'function': {'ludwig/features/image_feature.py': ['add_feature_data', 'build_input', 'update_model_definition_with_metadata', '__init__'], 'ludwig/utils/data_utils.py': ['save_hdf5'], 'ludwig/data/dataset_synthesyzer.py': [], 'ludwig/utils/image_utils.py': []}}","{'add': {3: 4, 4: 1, 15: 1, 14: 1, 13: 1, 1: 7, 2: 3, 7: 1}, 'del': {3: 2, 1: 11, 6: 2, 2: 6, 21: 1, 5: 1}}"
https://github.com/ludwig-ai/ludwig/commit/a119e4c41b35178abb555a1d3a79e37803d195e1,2,1,3,1,2,"{'num': 1, 'function': {'ludwig/utils/image_utils.py': ['resize_image']}}","{'add': {1: 2}, 'del': {1: 1}}"
https://github.com/flairNLP/flair/pull/214,20,19,39,1,1,"{'num': 2, 'function': {'flair/models/language_model.py': ['save', 'generate_text']}}","{'add': {20: 1}, 'del': {19: 1}}"
