url	label	title	all_text	comments	merged	created_time	updated_time	closed_time
https://github.com/tensorflow/federated/pull/187	['cla: no']	Fix anchor link in documentation.	Fix anchor link in documentation.Fix anchor link in documentation.	1	True	2019-02-22 16:38:15	2019-03-20 22:56:55	2019-02-22 17:06:08
https://github.com/tensorflow/federated/pull/170	['cla: no']	Fix lint issues.	Fix lint issues.Fix lint issues.	1	True	2019-02-20 01:59:36	2019-03-20 22:56:53	2019-02-20 02:26:19
https://github.com/tensorflow/federated/pull/165	['cla: no']	Fix lint issues.	Fix lint issues.Fix lint issues.	1	True	2019-02-18 21:43:08	2019-03-20 22:56:52	2019-02-18 23:00:39
https://github.com/tensorflow/federated/pull/164	['cla: no']	Fix Python compatibility issues.	Fix Python compatibility issues.Fix Python compatibility issues.	1	True	2019-02-18 21:42:27	2019-03-20 22:56:51	2019-02-18 22:19:58
https://github.com/tensorflow/federated/pull/160	['cla: no']	Spot fixes in tutorials for external runs: moves pip import comment, plot.show().	Spot fixes in tutorials for external runs: moves pip import comment, plot.show().Spot fixes in tutorials for external runs: moves pip import comment, plot.show().	1	True	2019-02-17 00:55:43	2019-03-20 22:56:51	2019-02-17 01:45:04
https://github.com/tensorflow/federated/pull/158	['cla: no']	Fix python3 compatibility issues in the custom algorithms tutorial.	Fix python3 compatibility issues in the custom algorithms tutorial.Fix python3 compatibility issues in the custom algorithms tutorial.	1	True	2019-02-16 19:20:35	2019-03-20 22:56:50	2019-02-16 19:59:51
https://github.com/tensorflow/federated/pull/149	['cla: no']	Preserve the order of variable lists and provide ModelWeights.keras_weights.	"Preserve the order of variable lists and provide ModelWeights.keras_weights.Preserve the order of variable lists and provide ModelWeights.keras_weights.

This lets us get back from a ModelWeights structure to a list that can be used with keras_model.set_weights().

Fixes a bug where anonymous_tuple.flatten was used together with nest.pack_sequence_as, which happened to work before but didn't after the other changes in this CL. Consolidates all the TFF-specific code in optimizer_utils.py to a single function."	1	True	2019-02-15 04:45:37	2019-03-20 22:56:48	2019-02-16 06:12:58
https://github.com/tensorflow/federated/pull/146	['cla: no']	Fix for ingesting empty federated datasets.	Fix for ingesting empty federated datasets.Fix for ingesting empty federated datasets.	1	True	2019-02-15 01:35:16	2019-03-20 22:56:48	2019-02-16 00:19:46
https://github.com/tensorflow/federated/pull/144	['cla: no']	Fix lint issues.	Fix lint issues.Fix lint issues.	1	True	2019-02-14 22:48:38	2019-03-20 22:56:48	2019-02-16 14:07:36
https://github.com/tensorflow/federated/pull/143	['cla: no']	Fix Python compatibility issues.	Fix Python compatibility issues.Fix Python compatibility issues.	1	True	2019-02-14 22:37:57	2019-03-20 22:56:48	2019-02-16 05:00:42
https://github.com/tensorflow/federated/pull/134	['cla: no']	Fix bash function inconsistency.	Fix bash function inconsistency.Fix bash function inconsistency.	1	True	2019-02-14 00:18:22	2019-03-20 22:56:47	2019-02-14 01:01:10
https://github.com/tensorflow/federated/pull/133	['cla: no']	Add better error messaging to `build_pip_package`.	Add better error messaging to `build_pip_package`.Add better error messaging to `build_pip_package`.	1	True	2019-02-13 22:57:55	2019-03-20 22:56:46	2019-02-13 23:55:00
https://github.com/tensorflow/federated/pull/126	['cla: no']	Add more information to reference_executor error to make debugging easier.	Add more information to reference_executor error to make debugging easier.Add more information to reference_executor error to make debugging easier.	1	True	2019-02-12 18:10:55	2019-03-20 22:56:45	2019-02-13 22:14:22
